Theo Walcott, Hastur, 4, Arsenal needed him last season and England needed him in the World Cup... :(
Ciaran Clark, Anthony James Marston, 4, A rising star.
Ciaran Clark, Mrs Ethel Rogers, 4, thought he played fairly well## besides that over aggressive tackle
Ciaran Clark, General John Gordon Macarthur, 4, Future Ireland captain
Kieran Gibbs, Thomas Rogers, 4, Gibbs is a better defender than Shaw. Id rather have Gibbs.
Kieran Gibbs, Emily Caroline Brent, 4, he's soo underrated it pisses me of arghhhh. Annoyed that he didn't even get picked for the england squad
Kieran Gibbs, Dr Edward George Armstrong, 5, One of the safest left backs around. Keeps it simple## doesn't do anything stupid## great positioning defensively and attacks when the time is right. On the back of last season and winning the FA Cup## this player can push for greater things.
Kieran Trippier, William Henry Blore, 5, He's a great crosser of the ball and comfortable with the ball at his feet. Plus## he's just 26! A decent rb!
Kieran Trippier, Philip Lombard, 4, Remember his 40 metres wonder goal
Jamal Blackman, Vera Elizabeth Claythorne, 4, he seems quite good.. but he let a lot of goals in lol
Jamal Blackman, Justice Lawrence John Wargrave, 5, I have seen jamal blackman for two years and he has been brilliant. hope chelsea will use him in the future cause i could see his potential.
Jamal Blackman, Isaac Morris, 5, Awesome keeper!
Ruben Loftus-Cheek, U.N. Owen, 4, Ruben is a fantastic footballer and will grace Stanford bridge for years to come
Scott Dann, null, 5, Since moving to Brum## Scott Dann has proved to be the classiest## most solid## most intelligent defender England has produced since Bobby Moore.
Scott Dann, null, 5, Scott Dann is a solid player## still miss him at Blackburn. We have got a decent replacement in Shane Duffy## but felt just that bit safer with Dann at the back. 
Scott Dann, null, 5, He is very good at commanding the back four as a whole. 
James McCarthy, null, 4, his goals helped fire the Eagles into the Premier League.
James McCarthy, null, 4, Used to be second highest goal scorer in Europe
James McCarthy, null, 5, Legend## so glad he's back.
Aaron Lennon, null, 3, I could really see him flourish at a club like Real Madrid or Bayern Munich## not sure why.. 
Aaron Lennon, null, 3, I wish him the best at Everton.
Aaron Lennon, null, 4, probably the best midfielder in the Everton squad
Robbie Brady, null, 3, Robbie Brady gives Republic of Ireland the lead in Dublin.
Robbie Brady, null, 4, A future Man utd and Ireland star in the making.
Robbie Brady, null, 4, brady is an exciting young player
Conrad Logan, null, 5, This man is a hero. The best keeper i've seen at dale
Conrad Logan, null, 5, Match winning saves. Fantastic goalkeeping.
Conrad Logan, null, 5, Proven to be such an important and passionate player for us!
Lucas Leiva, null, 5, He's becoming the best defensive midfielder in the world. 
Lucas Leiva, null, 4, Underrated! He might not score and make assists all the time but in the defence he's amazing.
Lucas Leiva, null, 3, dont think he's back to his best yet tbh## not that dominant force that he was before the injury. 
Lucas Leiva, null, 3, I realised your passes become heavier nowadays## please improve on tha
Jack Dunn, null, 4, future star
Jack Dunn, null, 4, The new Owen
Fernando, null, 5, beast ##best defensive midfielder in europe
Fernando, null, 4, Fernandinho 2.0
Fernando, null, 5, A great midfielder## insurmountable.
Fernando, null, 4, He will offer more in defense## allowing players like Yaya Toure and Fernandinho to commit more going forward.
Adam Armstrong, null, 4, international striker
Adam Armstrong, null, null, He's only 17 as well 
Adam Armstrong, null, 5, Great player looking forward to seeing him in more games 
Adam Armstrong, null, 5, "Deemed as the ""New Rooney"". He has a big future ahead of him."
Karl Henry, null, 4, No he's not exciting## no he won't score goals and he can be criticized for not moving the ball forwards but he's a defensive midfielder who is an excellent ball winner and is the rock that every club needs in midfield.
Karl Henry, null, 2, If he ever plays a forward pass it will be a miracle. Professor Crab 
Wayne Rooney, null, 5, Rooney shows passion for his team like no one else. He will die on the pitch if he has to for his team.
Wayne Rooney, null, 5, Striker  Rooney is over ## he's not a striker anymore ## he is literally EVERYWHERE  !!
Wayne Rooney, null, 5, Rooney is a complete player## a defender## a midfielder## a forward. He score goals## he passes like Paul Scholes## he played with Passion and Flair!
Thomas Muller, null, 5, the best player who scores and assists and ran throughout the games without fatigue or tirelessly HE IS THE GERMANS HERO MULLER
Thomas Muller, null, 5, He's going to come close or even break the world cup scoring record in 2018## he's only 25. He has a UCL win## a world cup win.
Thomas Muller, null, 5, This guy does not get all of his props. He led Germany in the world cup in goals. He was second in asissts. And he was the only man that had a hat trick in the WC. He should have at least got nominated for the golden ball. But he does not care## he is world champion and messi is not.
Lionel Messi, null, 5, If we could find the name Lionel Messi in a dictionary it would be something like this: Magic is a performing art that entertains audiences by staging tricks or creating illusions of seemingly impossible or supernatural feats using natural means
Lionel Messi, null, 5, Messi is a best player in a planet second is Neymar
Lionel Messi, null, 5, Imagine having the best playmaker## most divine dribbler and deadliest goalscorer## all in one player. But it doesn't stop there: imagine people trying to argue he is not the best player ever## or even of this generation.
Neymar, null, 5, Why is he so good. Last year he was inconsistent. Now he's world-class
Neymar, null, 5, He's 23 and playing alongside his favorite player. He's going to be a nightmare to stop.
Neymar, null, 5, Skills## goals## passing## dribbling and assists..all best
